2019-07-03 10:35:28.625 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@158a8276, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@3c3d9b6b, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@79d8407f, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@5fbe4146, org.springframework.test.context.support.DirtiesContextTestExecutionListener@1e66f1f5, org.springframework.test.context.transaction.TransactionalTestExecutionListener@4e50c791, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@7530ad9c, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@58a9760d, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@71e9ddb4, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@394df057, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@4961f6af, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@5aebe890]
2019-07-03 10:35:29.220 [main] INFO  com.shuizhi.ShuizhiApplicationTests - Starting ShuizhiApplicationTests on PC201811231606 with PID 9380 (started by Administrator in D:\物联网\水质解析\水质)
2019-07-03 10:35:29.221 [main] INFO  com.shuizhi.ShuizhiApplicationTests - No active profile set, falling back to default profiles: default
2019-07-03 10:35:31.398 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2019-07-03 10:35:31.778 [main] INFO  com.shuizhi.ShuizhiApplicationTests - Started ShuizhiApplicationTests in 3.065 seconds (JVM running for 4.421)
2019-07-03 10:35:31.780 [main] INFO  com.shuizhi.config.ServerExecutor - 服务器已开启，端口：8111 已打开，等待连接......
2019-07-03 10:35:52.062 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.shuizhi.ShuizhiApplicationTests], using SpringBootContextLoader
2019-07-03 10:35:52.069 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.shuizhi.ShuizhiApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2019-07-03 10:35:52.071 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.shuizhi.ShuizhiApplicationTests]: ShuizhiApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2019-07-03 10:35:52.222 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.shuizhi.ShuizhiApplication for test class com.shuizhi.ShuizhiApplicationTests
2019-07-03 10:35:52.351 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
